t,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6
0.003845,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.005860806,-0.005860806,0.001953602,-0.007326007,0.007326007,0.007326007
0.009855,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.001953602,0.001953602,0.007326007,-0.007326007,-0.007326007
0.015338,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,0.007326007,0.007326007,-0.007326007
0.020590,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,0.001953602,-0.007326007,-0.021978022,-0.007326007
0.026035,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.001953602,-0.001953602,-0.007326007,0.007326007,0.007326007
0.031882,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.005860806,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.037262,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.042825,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,-0.021978022,-0.007326007,-0.021978022
0.048110,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.021978022,-0.021978022
0.053437,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.001953602,-0.005860806,-0.005860806,-0.021978022,-0.007326007,-0.007326007
0.059186,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,0.007326007,-0.007326007,0.007326007
0.064520,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.005860806,-0.001953602,-0.005860806,0.007326007,-0.021978022,0.007326007
0.070081,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,0.001953602,-0.021978022,-0.007326007,-0.007326007
0.075514,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.005860806,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.080928,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.005860806,-0.001953602,-0.001953602,-0.007326007,-0.021978022,-0.021978022
0.086620,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.092041,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,0.001953602,-0.007326007,-0.007326007,-0.007326007
0.097729,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,0.001953602,-0.001953602,-0.005860806,-0.007326007,-0.021978022,-0.007326007
0.103034,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,0.001953602,0.001953602,-0.005860806,0.007326007,0.007326007,0.007326007
0.108349,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.005860806,-0.001953602,0.001953602,-0.007326007,-0.007326007,-0.007326007
0.113942,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.005860806,-0.007326007,-0.007326007,-0.007326007
0.119310,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.005860806,-0.001953602,0.001953602,-0.021978022,0.007326007,-0.021978022
0.125018,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,0.001953602,-0.001953602,-0.001953602,0.007326007,-0.007326007,-0.007326007
0.130368,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.001953602,-0.001953602,0.007326007,-0.021978022,-0.007326007
0.135710,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,-0.021978022,0.007326007,0.007326007
0.141413,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,0.007326007,0.007326007,0.007326007
0.146678,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.152227,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.005860806,-0.007326007,-0.007326007,-0.007326007
0.157452,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.005860806,-0.005860806,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.162685,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.001953602,-0.001953602,0.001953602,-0.007326007,-0.007326007,-0.007326007
0.169053,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,0.001953602,-0.007326007,-0.007326007,-0.007326007
0.174145,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,0.007326007
0.179623,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.005860806,-0.007326007,-0.007326007,0.007326007
0.184871,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.005860806,0.001953602,0.001953602,-0.007326007,0.007326007,-0.007326007
0.190130,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.005860806,-0.001953602,-0.001953602,0.007326007,0.007326007,-0.007326007
0.196032,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.005860806,-0.001953602,-0.001953602,0.007326007,-0.021978022,-0.021978022
0.201390,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,0.001953602,-0.005860806,-0.005860806,-0.007326007,0.007326007,-0.007326007
0.207101,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,0.007326007,-0.007326007,0.007326007
0.212440,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.001953602,-0.001953602,0.001953602,0.007326007,0.007326007,-0.007326007
0.217795,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,0.001953602,-0.001953602,-0.001953602,0.007326007,-0.021978022,-0.007326007
0.223455,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,0.001953602,-0.021978022,-0.007326007,0.007326007
0.228661,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.005860806,-0.001953602,-0.001953602,0.007326007,-0.007326007,-0.007326007
0.234302,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.239626,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,0.007326007
0.244974,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.005860806,-0.001953602,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.251009,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.005860806,-0.001953602,-0.001953602,0.007326007,-0.021978022,-0.007326007
0.256272,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.261848,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.001953602,-0.001953602,-0.007326007,-0.021978022,0.007326007
0.267141,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.005860806,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.272412,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,0.001953602,-0.005860806,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.278158,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.283384,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,-0.007326007,0.007326007,-0.007326007
0.289227,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.021978022,-0.007326007
0.294544,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.005860806,0.001953602,-0.007326007,-0.007326007,-0.021978022
0.300062,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.001953602,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.305994,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.005860806,0.007326007,-0.007326007,-0.007326007
0.311485,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.316839,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.001953602,0.001953602,-0.005860806,0.007326007,0.007326007,-0.007326007
0.322326,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,0.001953602,-0.001953602,-0.001953602,-0.021978022,-0.007326007,0.007326007
0.327474,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,0.001953602,-0.001953602,-0.001953602,-0.021978022,-0.007326007,0.007326007
0.332886,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.001953602,-0.001953602,0.007326007,-0.021978022,-0.007326007
0.341479,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.347526,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.352629,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.358494,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.005860806,0.007326007,-0.021978022,-0.007326007
0.363650,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.005860806,0.007326007,-0.021978022,-0.007326007
0.368742,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,-0.001953602,-0.005860806,0.007326007,-0.021978022,-0.007326007
0.374454,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.001953602,-0.001953602,0.001953602,-0.007326007,-0.007326007,-0.007326007
0.379627,-0.000572213,-0.004768444,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.001953602,-0.001953602,0.001953602,-0.007326007,-0.007326007,-0.007326007
0.385864,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.001953602,-0.001953602,0.007326007,-0.021978022,-0.007326007
0.391093,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.001953602,-0.001953602,0.007326007,-0.021978022,-0.007326007
0.396225,-0.000572213,-0.004768444,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.001953602,-0.001953602,0.007326007,-0.021978022,-0.007326007
0.401325,-0.000572213,-0.004005493,0.039482719,-0.024605173,-0.000953689,-0.000572213,0.001953602,0.029304029,-0.001953602,-0.007326007,-0.021978022,-0.021978022
0.407448,-0.000572213,-0.004005493,0.039482719,-0.024605173,-0.000953689,-0.000572213,0.001953602,0.029304029,-0.001953602,-0.007326007,-0.021978022,-0.021978022
0.412541,-0.000572213,-0.004005493,0.039482719,-0.024605173,-0.000953689,-0.000572213,0.001953602,0.029304029,-0.001953602,-0.007326007,-0.021978022,-0.021978022
0.418498,-0.000572213,-0.003242542,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.037118437,-0.001953602,-0.007326007,0.007326007,-0.007326007
0.423742,-0.000572213,-0.003242542,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.037118437,-0.001953602,-0.007326007,0.007326007,-0.007326007
0.428863,-0.000572213,-0.003242542,0.039482719,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.037118437,-0.001953602,-0.007326007,0.007326007,-0.007326007
0.434706,-0.000572213,-0.002098116,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.005860806,0.060561661,0.001953602,-0.007326007,-0.021978022,0.007326007
0.439824,-0.000572213,-0.002098116,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.005860806,0.060561661,0.001953602,-0.007326007,-0.021978022,0.007326007
0.445155,-0.000572213,-0.000190738,0.039482719,-0.024223697,-0.000953689,-0.000572213,0.001953602,0.119169719,0.001953602,-0.007326007,-0.007326007,-0.007326007
0.451275,-0.000572213,-0.000190738,0.039482719,-0.024223697,-0.000953689,-0.000572213,0.001953602,0.119169719,0.001953602,-0.007326007,-0.007326007,-0.007326007
0.456473,-0.000572213,-0.000190738,0.039482719,-0.024223697,-0.000953689,-0.000572213,0.001953602,0.119169719,0.001953602,-0.007326007,-0.007326007,-0.007326007
0.462194,-0.000572213,0.002479591,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.005860806,0.150427350,-0.001953602,-0.007326007,-0.007326007,0.007326007
0.467345,-0.000572213,0.002479591,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.005860806,0.150427350,-0.001953602,-0.007326007,-0.007326007,0.007326007
0.472504,-0.000572213,0.002479591,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.005860806,0.150427350,-0.001953602,-0.007326007,-0.007326007,0.007326007
0.478251,-0.000572213,0.006294347,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.005860806,0.224664225,0.001953602,-0.007326007,-0.007326007,-0.021978022
0.483444,-0.000572213,0.006294347,0.039482719,-0.024223697,-0.000953689,-0.000572213,-0.005860806,0.224664225,0.001953602,-0.007326007,-0.007326007,-0.021978022
0.488613,-0.000572213,0.010490578,0.039482719,-0.024223697,-0.000953689,-0.000572213,0.001953602,0.224664225,0.009768010,-0.007326007,-0.007326007,0.007326007
0.495030,-0.000572213,0.010490578,0.039482719,-0.024223697,-0.000953689,-0.000572213,0.001953602,0.224664225,0.009768010,-0.007326007,-0.007326007,0.007326007
0.500175,-0.000572213,0.010490578,0.039482719,-0.024223697,-0.000953689,-0.000572213,0.001953602,0.224664225,0.009768010,-0.007326007,-0.007326007,0.007326007
0.505780,-0.000572213,0.015831235,0.039864195,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.263736264,0.013675214,-0.021978022,-0.021978022,-0.007326007
0.510983,-0.000572213,0.015831235,0.039864195,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.263736264,0.013675214,-0.021978022,-0.021978022,-0.007326007
0.516170,-0.000572213,0.015831235,0.039864195,-0.024605173,-0.000953689,-0.000572213,-0.001953602,0.263736264,0.013675214,-0.021978022,-0.021978022,-0.007326007
0.521709,-0.000572213,0.021171893,0.040245670,-0.024605173,-0.000953689,-0.000572213,0.001953602,0.318437118,0.013675214,-0.007326007,0.007326007,-0.007326007
