t,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6
0.003751,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.009032,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.015064,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,0.007326007,-0.021978022,-0.007326007
0.020505,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.021978022,0.007326007
0.025843,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,0.007326007
0.031702,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,0.007326007,-0.007326007,-0.036630037
0.037063,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.021978022,-0.007326007
0.043150,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.048514,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.054197,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.005860806,-0.001953602,-0.021978022,-0.021978022,-0.007326007
0.059752,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.065839,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.007326007,0.007326007,-0.007326007
0.071290,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.005860806,0.001953602,-0.021978022,-0.021978022,-0.021978022
0.077483,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,0.007326007,-0.007326007,-0.007326007
0.082785,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.005860806,-0.001953602,-0.005860806,-0.007326007,-0.007326007,-0.021978022
0.088126,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.005860806,0.001953602,-0.007326007,-0.021978022,-0.007326007
0.094260,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.099634,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.007326007,0.007326007,-0.007326007
0.105718,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,0.001953602,-0.001953602,-0.001953602,-0.021978022,-0.007326007,0.007326007
0.110999,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.005860806,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.116578,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,0.001953602,-0.001953602,-0.001953602,-0.007326007,0.007326007,-0.007326007
0.121928,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.127242,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.053215839,-0.037575341,-0.001953602,0.001953602,0.001953602,-0.021978022,-0.021978022,-0.007326007
0.132953,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.021978022,0.021978022
